date,record_id,net_profit,revenue,operating_cash_flow,accounts_receivable,dso,budgeted_amount,actual_spend,budget_accuracy_score,internal_csat_score
2025-01-01,FIN07270,1707902.62,3306149.91,601609.16,1382178.25,48.46,4552040.66,4129337.67,94.19,4.82
2025-01-02,FIN00860,144201.18,2305010.09,720707.45,1955034.98,44.75,2952769.57,5162485.7,94.27,3.99
2025-01-03,FIN05390,1099013.26,1752524.54,398799.21,3719395.28,37.13,2939203.75,1340404.15,94.31,4.56
2025-01-04,FIN05191,239382.05,4129770.57,939858.94,3012880.5,47.77,2484610.53,1634970.6,94.83,4.42
2025-01-05,FIN05734,665943.06,1743696.49,633544.11,3993963.83,34.74,3173911.26,4415057.21,96.39,4.71
2025-01-06,FIN06265,1249586.92,3056205.97,874323.06,4559619.67,55.26,4129783.2,3343103.5,97.53,4.72
2025-01-07,FIN00466,866442.96,2279122.75,718834.52,5657961.71,40.93,1715190.84,3745328.44,93.13,4.39
2025-01-08,FIN04426,439418.0,3632645.54,741724.66,4264397.42,46.71,2013426.54,3442364.86,91.53,4.39
2025-01-09,FIN05578,574941.66,3427039.03,764411.29,5557677.74,47.42,2519096.14,3514348.92,92.0,4.56
2025-01-10,FIN08322,1096522.05,4422938.65,739909.02,4577787.08,42.72,1032089.44,1047439.04,93.6,4.34
2025-01-11,FIN01685,569309.34,2233338.86,779056.49,-158682.43,50.05,1783498.54,4457661.82,93.99,4.82
2025-01-12,FIN00769,923345.44,2573109.17,916851.52,2247075.26,40.84,2272968.19,4633320.06,92.78,4.48
2025-01-13,FIN06949,859447.61,1570119.7,689485.26,4093534.14,52.52,4200114.99,2623522.93,91.27,3.77
2025-01-14,FIN02433,598761.57,2326328.93,792361.85,1619337.1,33.29,3327115.35,2890609.53,93.69,4.48
2025-01-15,FIN05311,1644069.21,3488781.93,632021.59,5821040.23,46.06,3228702.01,753456.73,95.53,4.3
2025-01-16,FIN05051,1079441.9,4025993.41,939126.75,7982284.37,61.77,4166596.04,3691855.43,96.73,4.13
2025-01-17,FIN06420,85167.8,1650199.38,514255.18,7257887.78,36.29,2756462.24,3774895.66,93.4,4.24
2025-01-18,FIN01184,912126.27,4185332.89,1011558.99,3932500.4,39.09,3509617.22,2863724.62,93.82,4.62
2025-01-19,FIN04555,594952.78,4873007.64,641973.9,7889352.4,49.42,2805189.95,4568332.42,92.33,4.96
2025-01-20,FIN03385,1161148.59,3539907.62,362819.15,4773272.04,46.52,3331112.05,2473128.73,94.92,4.67
2025-01-21,FIN06396,546068.73,5610381.34,675751.17,3645417.69,48.0,2120952.48,3764190.69,92.56,4.42
2025-01-22,FIN08666,799505.27,1860133.15,513319.86,3003847.37,49.2,-527404.24,1488203.8,96.66,4.71
2025-01-23,FIN09274,1031231.85,1193917.01,818787.43,3725792.07,50.46,2760875.02,2919233.81,89.85,4.46
2025-01-24,FIN02558,1166129.88,438280.68,519026.47,3526791.6,54.58,4982552.68,2702589.19,93.97,4.39
2025-01-25,FIN07849,393593.6,5071665.31,560467.69,4823769.76,48.51,4274064.34,3276749.99,95.88,4.26
2025-01-26,FIN02047,717331.0,3880794.68,270725.79,4800917.39,42.87,4329972.13,2422201.15,95.54,4.1
2025-01-27,FIN02747,664816.27,2876303.25,559238.57,4435158.58,50.79,4716273.64,2764193.64,102.79,4.48
2025-01-28,FIN09167,598115.1,3351069.44,163461.79,5442597.99,61.43,3078977.09,4139781.19,96.02,4.63
2025-01-29,FIN09998,1502544.6,1362521.6,332080.04,7192607.18,43.81,3234018.25,2325607.0,92.11,4.56
2025-01-30,FIN00189,993837.85,6415383.57,802682.15,6632823.55,36.51,2071164.31,645035.95,94.73,4.47
2025-01-31,FIN02734,370938.75,3137780.55,807778.08,980352.1,54.56,2501478.81,5466548.18,89.88,4.32
2025-02-01,FIN03005,1185613.6,3109728.68,735442.32,-1501776.4,43.92,3831100.33,4937687.25,94.78,4.76
2025-02-02,FIN04658,1635922.3,3981818.17,455922.91,6597451.72,26.12,4670262.34,1096584.83,92.6,4.22
2025-02-03,FIN01899,1228465.97,3635516.9,640457.62,1254377.02,52.31,2753502.22,3943913.97,97.65,4.8
2025-02-04,FIN07734,274285.88,3271716.7,649312.1,3906211.0,40.32,2310111.95,2230487.94,93.42,4.31
2025-02-05,FIN01267,661343.03,1836525.59,417503.26,1711240.54,44.18,2953227.44,3331598.95,94.67,4.38
2025-02-06,FIN01528,1316129.78,3622017.74,951829.9,244129.11,47.84,3810318.8,3375756.07,93.17,4.18
2025-02-07,FIN03556,577796.25,5617779.28,826158.41,5685290.01,46.61,892279.03,2616315.35,100.03,4.45
2025-02-08,FIN03890,1008360.01,4858550.71,605678.57,6190742.65,51.11,-323880.72,1827099.44,94.08,4.86
2025-02-09,FIN08838,1132057.94,5209109.61,655432.38,3089506.26,41.19,2166928.85,1961027.35,100.3,4.73
2025-02-10,FIN05393,495810.36,2231642.03,691866.38,-1587966.75,49.41,1210674.52,1636853.87,97.36,4.86
2025-02-11,FIN08792,820149.75,1554780.88,240174.09,3159779.75,42.71,2227423.42,1758060.68,96.4,4.73
2025-02-12,FIN08433,-369564.55,2776975.8,600416.49,5337802.51,51.37,2741610.61,2856559.83,96.07,4.28
